id_artist,artist_name
1,Radiohead
2,Pink Floyd
3,King Crimson
4,Kendrick Lamar
5,My Bloody Valentine
6,The Beatles
7,Madvillain
8,Black Sabbath
9,The Beach Boys
10,Nas
11,Neutral Milk Hotel
12,Wu-Tang Clan
13,Nick Drake
14,Slint
15,Joy Division
16,Bob Dylan
17,Pixies
18,Led Zeppelin
19,Portishead
20,Television
21,Kate Bush
22,Godspeed You Black Emperor!
23,The Doors
24,DJ Shadow
25,Miles Davis
26,Björk
27,A Tribe Called Quest
28,The Jimi Hendrix Experience
29,Death Grips
30,Sufjan Stevens
31,Talking Heads
32,Elliott Smith
33,Talk Talk
34,Kanye West
35,Sonic Youth
36,Frank Ocean
37,The Velvet Underground
38,Genius/GZA
39,Marvin Gaye
40,Metallica
41,Nirvana
42,Grateful Dead
43,OutKast
44,Sigur Rós
45,David Bowie
46,Bruce Springsteen
47,Tom Waits
48,Stevie Wonder
49,Iron Maiden
50,J Dilla
51,Neil Young
52,Frank Zappa
53,The Zombies
54,Big Star
55,Townes Van Zandt
56,MF DOOM
57,Death
58,John Coltrane
59,Modest Mouse
60,Daft Punk
61,Sweet Trip
62,Sam Cooke
63,Mobb Deep
64,Milton Nascimento
65,The Cure
66,The Kinks
67,Fleetwood Mac
68,Ennio Morricone
69,Love
70,George Harrison
71,Megadeth
72,Curtis Mayfield
73,Iggy and The Stooges
74,Leonard Cohen
75,The Notorious B.I.G.
76,Rory Gallagher
77,LCD Soundsystem
78,The Strokes
79,Depeche Mode
80,Queen
81,Jeff Rosenstock
82,Interpol
83,Boards of Canada
84,Jeff Buckley
85,Creedence Clearwater Revival
86,Rage Against the Machine
87,"Tyler, the Creator"
88,Magma
89,Belle and Sebastian
90,Freddie Gibbs &amp; Madlib
91,Judas Priest
92,Between the Buried and Me
93,Slayer
94,Hendrix
95,The Rolling Stones
96,The Who
97,Motörhead
98,Weezer
99,Jethro Tull
100,The Allman Brothers Band
101,Queens of the Stone Age
102,Comus
103,Kraftwerk
104,Dead Kennedys
105,Johnny Cash
106,The Replacements
107,Fela Kuti
108,Jimi Hendrix
109,Charlie Mingus
110,Charles Mingus
111,Cocteau Twins
112,C418
113,Alice in Chains
114,The Microphones
115,Tool
116,Opeth
117,Daughters
118,Gang of Four
119,Funkadelic
120,Wire
121,Herbie Hancock
122,Genesis
123,Little Simz
124,Keith Jarrett
125,Bob Marley
126,Nick Cave and The Bad Seeds
127,Bill Evans Trio
128,Ornette Coleman
129,David Wise
130,青葉市子 
131,Simon and Garfunkel
132,Boris
133,Lou Reed
134,Magnolia Electric Co.
135,Otis Redding
136,Beastie Boys
137,Eno
138,Staatsorchester Stuttgart
139,田中宏和 
140,増田順一 
141,Ween
142,Gang Starr
143,Deep Purple
144,King Gizzard and the Lizard Wizard
145,Rush
146,Seatbelts
147,Steely Dan
148,Fishmans
149,Angelo Badalamenti
150,Artur Rubinstein
151,Ten Years After
152,Kids See Ghosts
153,At the Drive-In
154,Viktor Vaughn
155,Howard Shore
156,Jorge Ben
157,New York Philharmonic
158,Car Seat Headrest
159,Mario Galaxy Orchestra
160,John Williams
161,The Flaming Lips
162,Sun Ra
163,Organized Konfusion
164,John Lennon
165,R.E.M.
166,Deftones
167,Invisible
168,The Band
169,The KT Fellowship
170,Weyes Blood
171,椎名林檎 
172,Pentagram
173,The Dave Brubeck Quartet
174,Minutemen
175,The Knife
176,Yosuke Yamashita Trio
177,Camel
178,Brian Eno
179,Pulp
180,久石譲 
181,The Roots
182,Mount Eerie
183,Sly &amp; The Family Stone
184,Dinosaur
185,Robert Wyatt
186,Isaac Hayes
187,T. Rex
188,Dissection
189,Lynyrd Skynyrd
190,Mt. Eerie
191,Hüsker Dü
192,Emperor
193,Neurosis
194,Van der Graaf Generator
195,Mastodon
196,Queensrÿche
197,Ground-Zero
198,Robbie Basho
199,Thee Oh Sees
200,Ella Fitzgerald
201,Mahavishnu Orchestra
202,Glenn Gould
203,Esbjörn Svensson Trio
204,The Dismemberment Plan
205,Immolation
206,Isis
207,Porcupine Tree
208,Blaze Foley
209,Injury Reserve
210,Yes
211,My Morning Jacket
212,Gentle Giant
213,Earl Sweatshirt
214,Parliament
215,Deltron 3030
216,Boris With Merzbow
217,Toby &#34;Radiation&#34; Fox
218,Aphex Twin
219,Gil Scott-Heron
220,Lauryn Hill
221,Santana
222,Gene Clark
223,Aretha Franklin
224,Berliner Philharmoniker
225,Lil Ugly Mane
226,Jay-Z
227,Duke Ellington
228,Steven Wright
229,Gorillaz
230,Soundgarden
231,Mr. Bungle
232,Racionais MC&#39;s
233,Bolt Thrower
234,Cecil Taylor
235,Velvet Underground
236,Fugazi
237,Dismember
238,Faith No More
239,Elvis Presley
240,Rainbow
241,Boredoms
242,Wiener Philharmoniker
243,Laurie Anderson
244,The Smiths
245,Van Morrison
246,The Modern Lovers
247,NEU!
248,Ramones
249,Dead Can Dance
250,Caetano Veloso
251,Nina Simone
252,Peter Gabriel
253,Clipse
254,Jackson C. Frank
255,Gojira
256,Flying Lotus
257,Elvis Costello
258,Kreator
259,JPEGMAFIA
260,The Brave Little Abacus
261,Exuma
262,平沢進 
263,Siouxsie and The Banshees
264,Sun Ra and His Arkestra
265,New Order
266,XTC
267,Ghostface Killah
268,Spiritualized®
269,Immortal
270,Sepultura
271,Little Feat
272,Tatiana Nikolayeva
273,The Mars Volta
274,Nico
275,Astor Piazzolla and The New Tango Quintet
276,John Cale
277,George Carlin
278,Nick Cave &amp; The Bad Seeds
279,Edge of Sanity
280,Refused
281,James Brown
282,Accept
283,Andrew Hill
284,Tears for Fears
285,Cannibal Ox
286,Philip Glass
287,Mach-Hommy
288,Danny Brown
289,Sagopa Kajmer
290,The Clash
291,Don Cherry
292,Violent Femmes
293,The Cannonball Adderley Quintet
294,The Thelonious Monk Quartet
295,Snoop Doggy Dogg
296,Unwound
297,Grand Valley State University New Music Ensemble
298,Pete Rock &amp; C.L. Smooth
299,Roxy Music
300,Valve Studio Orchestra
301,Gustavo Cerati
302,Ryan Amon
303,下村陽子 
304,Fleet Foxes
305,Big Black
306,Joni Mitchell
307,Demilich
308,Dave Matthews &amp; Tim Reynolds
309,Candlemass
310,Public Enemy
311,The Stooges
312,Pearl Jam
313,光田康典 
314,Wendy Carlos
315,Derek &amp; The Dominos
316,Widdly 2 Diddly
317,Kyuss
318,British Sea Power
319,Tom Zé
320,Charles Mingus Sextet with Eric Dolphy
321,Silvio Rodríguez
322,*Namco Consumer Software Sound Team
323,Grouper
324,Sinatra With Count Basie &amp; The Orchestra &amp; Quincy Jones
325,長沼英樹 
326,Belle &amp; Sebastian
327,Helloween
328,Wayne Shorter
329,Animal Collective
330,Pascal Rogé
331,Cartola
332,Andrew Prahlow
333,Joanna Newsom
334,Max Roach
335,hr-Sinfonieorchester
336,Run the Jewels
337,Darkthrone
338,Oliver Nelson
339,The Fall
340,Maurizio Pollini
341,Michael Jackson
342,Renaissance
343,공중도둑 
344,Serge Gainsbourg
345,Amon Düül II
346,尾形雅史 
347,Destruction
348,Thelonious Monk
349,King Diamond
350,Andrew Lloyd Webber &amp; Tim Rice
351,The Gathering
352,Henry Cow
353,Moonsorrow
354,Jacques Brel
355,Pestilence
356,Artillery
357,牛尾憲輔 
358,the pillows
359,PiL
360,Al Green
361,Phil Ochs
362,Paul Simon
363,This Heat
364,Various Artists
365,Pere Ubu
366,Elton John
367,Sixteen Horsepower
368,Clifford Brown and Max Roach
369,FKA twigs
370,AC/DC
371,Beach House
372,Christopher Larkin
373,Simon &amp; Garfunkel
374,이달의 소녀 오드아이써클 
375,The Blasting Company
376,The Sound
377,Morbid Angel
378,Matana Roberts
379,Fairport Convention
380,John Coltrane Featuring Pharoah Sanders
381,Anathema
382,Songs: Ohia
383,Iggy Pop
384,The Ornette Coleman Trio
385,black midi
386,Sleep
387,Supertramp
388,Can
389,Pusha T
390,Wynton Kelly
391,Carissa&#39;s Wierd
392,John Martyn
393,Bruno Pernadas
394,Mutantes
395,Kevin Penkin
396,Miles Davis Quintet
397,King Krule
398,Pavement
399,Dire Straits
400,Riverside
401,Steve Roach
402,Wipers
403,The Necks
404,Saxon
405,Jessie Ware
406,Nine Inch Nails
407,The Mothers of Invention
408,Al Di Meola
409,Nicholas Britell
410,clipping.
411,Blue Öyster Cult
412,Jeremy Soule
413,Underworld
414,Autopsy
415,Bon Iver
416,Café Tacvba
417,Kansas
418,Janelle Monáe
419,Bernard Herrmann
420,Roger Waters
421,Andrew Lloyd Webber and Tim Rice
422,Belchior
423,Henry Rollins
424,Brockhampton
425,Bad Brains
426,Stereolab
427,Coil
428,Albert King
429,Coroner
430,Warren Zevon
431,Yusef Lateef
432,Converge
433,Scott Walker
434,Suffocation
435,Fabrizio De André
436,永田権太 
437,Tim Buckley
438,Bark Psychosis
439,Manic Street Preachers
440,CunninLynguists
441,Klaus Schulze
442,Blondie
443,Electric Wizard
444,Beyoncé
445,Jefferson Airplane
446,Manuel Göttsching
447,Dream Theater
448,The National
449,Built to Spill
450,"Crosby, Stills &amp; Nash"
451,Vektor
452,Roy Harper
453,Colosseum
454,Steven Osborne
455,Celtic Frost
456,Denzel Curry
457,Mort Garson
458,Prince
459,The Residents
460,Type O Negative
461,X-Ray Spex
462,Terry Callier
463,Roland Kirk
464,The Tale Quartet
465,Sparks
466,Orchid
467,Little Brother
468,Silver Jews
469,The Charlie Mingus Jazz Workshop
470,Morbid Saint
471,B.B. King
472,Jimi Hendrix Experience
473,Devo
