id_albuma,descriptive_word
1,melancholic
1,anxious
1,futuristic
1,male vocals
1,existential
1,alienation
1,atmospheric
1,lonely
1,cold
2,melancholic
2,atmospheric
2,progressive
2,male vocals
2,concept album
2,serious
2,introspective
2,longing
2,alienation
3,fantasy
3,epic
3,progressive
3,philosophical
3,complex
3,poetic
3,surreal
3,male vocals
3,melancholic
4,cold
4,melancholic
4,futuristic
4,anxious
4,atmospheric
4,sombre
4,cryptic
4,abstract
4,introspective
5,political
5,conscious
5,poetic
5,protest
5,concept album
5,introspective
5,urban
5,male vocals
5,eclectic
6,noisy
6,ethereal
6,atmospheric
6,romantic
6,love
6,dense
6,hypnotic
6,psychedelic
6,female vocals
7,atmospheric
7,philosophical
7,introspective
7,existential
7,mellow
7,concept album
7,male vocals
7,psychedelic
7,progressive
8,melodic
8,warm
8,male vocals
8,bittersweet
8,summer
8,uplifting
8,love
8,romantic
8,eclectic
9,sampling
9,cryptic
9,playful
9,humorous
9,abstract
9,mysterious
9,surreal
9,eclectic
9,male vocals
10,urban
10,crime
10,concept album
10,conscious
10,introspective
10,male vocals
10,passionate
10,violence
10,existential
11,dark
11,heavy
11,war
11,political
11,ominous
11,male vocals
11,drugs
11,science fiction
11,alienation
12,Wall of Sound
12,bittersweet
12,warm
12,love
12,romantic
12,melodic
12,melancholic
12,lush
12,introspective
13,urban
13,crime
13,introspective
13,philosophical
13,conscious
13,sampling
13,rhythmic
13,drugs
13,male vocals
14,passionate
14,poetic
14,death
14,cryptic
14,surreal
14,bittersweet
14,acoustic
14,melodic
14,male vocals
15,psychedelic
15,playful
15,melodic
15,male vocals
15,lush
15,optimistic
15,warm
15,eclectic
15,uplifting
16,urban
16,aggressive
16,raw
16,crime
16,boastful
16,rhythmic
16,violence
16,energetic
16,dark
17,acoustic
17,melancholic
17,lonely
17,mellow
17,introspective
17,poetic
17,calm
17,male vocals
17,pastoral
18,lonely
18,anxious
18,sombre
18,uncommon time signatures
18,dark
18,suspenseful
18,atmospheric
18,melancholic
18,cryptic
19,sombre
19,dark
19,cold
19,anxious
19,introspective
19,lonely
19,existential
19,atmospheric
19,depressive
20,political
20,pessimistic
20,philosophical
20,sarcastic
20,concept album
20,progressive
20,satirical
20,male vocals
20,complex
21,poetic
21,cryptic
21,surreal
21,sarcastic
21,male vocals
21,passionate
21,conscious
21,rebellious
21,introspective
22,energetic
22,anxious
22,playful
22,male vocals
22,humorous
22,manic
22,noisy
22,raw
22,sarcastic
23,fantasy
23,folklore
23,male vocals
23,energetic
23,passionate
23,rebellious
23,rhythmic
23,melodic
23,heavy
24,melancholic
24,mysterious
24,atmospheric
24,dark
24,nocturnal
24,mellow
24,introspective
24,sampling
24,female vocals
25,male vocals
25,rhythmic
25,poetic
25,cryptic
25,technical
25,introspective
25,anxious
25,philosophical
25,existential
26,female vocals
26,love
26,passionate
26,romantic
26,lush
26,ethereal
26,concept album
26,poetic
26,epic
27,poetic
27,surreal
27,sarcastic
27,cryptic
27,bittersweet
27,romantic
27,introspective
27,male vocals
27,playful
28,apocalyptic
28,instrumental
28,atmospheric
28,sombre
28,dark
28,ominous
28,epic
28,lonely
28,suspenseful
29,psychedelic
29,drugs
29,poetic
29,sexual
29,dark
29,male vocals
29,cryptic
29,hedonistic
29,mysterious
30,sampling
30,instrumental
30,atmospheric
30,urban
30,mysterious
30,nocturnal
30,rhythmic
30,sombre
30,hypnotic
31,psychedelic
31,instrumental
31,improvisation
31,dense
31,complex
31,mysterious
31,surreal
31,hypnotic
31,atmospheric
32,breakup
32,lonely
32,poetic
32,introspective
32,melancholic
32,love
32,male vocals
32,passionate
32,bittersweet
33,sensual
33,romantic
33,sexual
33,winter
33,ethereal
33,atmospheric
33,lush
33,introspective
33,female vocals
34,heavy
34,dark
34,male vocals
34,sombre
34,rhythmic
34,nocturnal
34,alienation
34,drugs
34,ominous
35,rhythmic
35,mellow
35,urban
35,sampling
35,male vocals
35,conscious
35,boastful
35,playful
35,poetic
36,raw
36,acoustic
36,male vocals
36,poetic
36,passionate
36,cryptic
36,energetic
36,romantic
37,energetic
37,psychedelic
37,sexual
37,drugs
37,raw
37,male vocals
37,hedonistic
37,heavy
37,hypnotic
38,psychedelic
38,drugs
38,surreal
38,energetic
38,sexual
38,sensual
38,male vocals
38,passionate
38,raw
39,aggressive
39,manic
39,energetic
39,angry
39,noisy
39,nihilistic
39,crime
39,raw
39,drugs
40,lush
40,melodic
40,Christian
40,concept album
40,warm
40,male vocals
40,bittersweet
40,history
40,sentimental
41,cold
41,passionate
41,ethereal
41,lush
41,female vocals
41,atmospheric
41,introspective
41,anxious
41,winter
42,playful
42,energetic
42,anxious
42,rhythmic
42,male vocals
42,sarcastic
42,humorous
42,urban
42,alienation
43,melancholic
43,mellow
43,acoustic
43,depressive
43,introspective
43,lonely
43,melodic
43,male vocals
43,bittersweet
44,atmospheric
44,sombre
44,spiritual
44,religious
44,introspective
44,improvisation
44,sparse
44,melancholic
44,male vocals
45,humorous
45,playful
45,conscious
45,sampling
45,male vocals
45,passionate
45,boastful
45,satirical
45,sarcastic
46,energetic
46,anxious
46,raw
46,rebellious
46,noisy
46,urban
46,male vocals
46,female vocals
46,dissonant
47,introspective
47,LGBT
47,bittersweet
47,mellow
47,sexual
47,atmospheric
47,drugs
47,sensual
47,male vocals
48,mellow
48,melancholic
48,bittersweet
48,melodic
48,introspective
48,male vocals
48,nocturnal
48,soft
48,alienation
49,dark
49,urban
49,crime
49,atmospheric
49,rhythmic
49,raw
49,philosophical
49,sampling
49,male vocals
50,political
50,passionate
50,conscious
50,mellow
50,male vocals
50,melodic
50,lush
50,spiritual
50,warm
51,heavy
51,energetic
51,aggressive
51,male vocals
51,dark
51,death
51,angry
51,apocalyptic
51,melodic
52,psychedelic
52,melodic
52,playful
52,surreal
52,male vocals
52,lush
52,summer
52,quirky
52,bittersweet
53,acoustic
53,melodic
53,melancholic
53,passionate
53,male vocals
53,introspective
53,sombre
53,lonely
53,pessimistic
54,warm
54,summer
54,improvisation
54,happy
54,male vocals
54,psychedelic
54,melodic
55,energetic
55,male vocals
55,rhythmic
55,quirky
55,passionate
55,playful
55,uplifting
55,warm
55,urban
56,male vocals
56,conscious
56,lush
56,boastful
56,urban
56,mellow
56,introspective
56,warm
56,rhythmic
57,ethereal
57,atmospheric
57,soothing
57,melancholic
57,mellow
57,winter
57,calm
57,bittersweet
57,lush
58,playful
58,melodic
58,quirky
58,male vocals
58,warm
58,lush
58,melancholic
58,sarcastic
58,introspective
59,passionate
59,energetic
59,male vocals
59,triumphant
59,melodic
59,anthemic
60,poetic
60,eclectic
60,urban
60,alcohol
60,nocturnal
60,surreal
60,crime
60,male vocals
60,dark
61,rhythmic
61,urban
61,nocturnal
61,mellow
61,playful
61,male vocals
61,sampling
61,boastful
61,poetic
62,warm
62,urban
62,rhythmic
62,raw
62,nocturnal
62,hedonistic
63,aggressive
63,heavy
63,angry
63,energetic
63,male vocals
63,rebellious
63,political
63,uncommon time signatures
63,serious
64,drugs
64,noisy
64,sexual
64,raw
64,lo-fi
64,dissonant
64,chaotic
64,energetic
64,male vocals
65,political
65,male vocals
65,passionate
65,romantic
65,warm
65,melodic
65,conscious
65,soft
65,urban
66,energetic
66,passionate
66,heavy
66,war
66,male vocals
66,epic
66,melodic
66,rhythmic
66,anthemic
67,sampling
67,instrumental
67,playful
67,eclectic
67,bittersweet
67,repetitive
67,warm
67,rhythmic
67,urban
68,melancholic
68,introspective
68,lonely
68,sombre
68,mellow
68,male vocals
68,sentimental
68,poetic
68,depressive
69,complex
69,playful
69,energetic
69,technical
69,instrumental
69,dense
69,progressive
69,surreal
69,quirky
70,melodic
70,love
70,psychedelic
70,bittersweet
70,romantic
70,peaceful
70,male vocals
70,spring
70,mellow
71,melodic
72,acoustic
72,melancholic
72,pastoral
72,male vocals
72,melodic
72,lonely
72,love
72,warm
72,poetic
73,sampling
73,concept album
73,playful
73,humorous
73,abstract
73,male vocals
73,quirky
73,alcohol
73,drugs
74,energetic
74,rebellious
74,angry
74,male vocals
74,apathetic
74,sarcastic
74,alienation
74,anxious
74,passionate
75,philosophical
75,complex
75,introspective
75,passionate
75,technical
75,existential
75,heavy
75,progressive
75,male vocals
76,noisy
76,raw
76,sarcastic
76,pessimistic
76,angry
76,anxious
76,rebellious
76,male vocals
76,dissonant
77,instrumental
77,warm
77,improvisation
77,passionate
77,technical
77,bittersweet
77,playful
77,acoustic
77,uplifting
78,poetic
78,breakup
78,passionate
78,introspective
78,melancholic
78,bittersweet
78,acoustic
78,male vocals
78,longing
79,anxious
79,angry
79,lonely
79,passionate
79,sarcastic
79,existential
79,raw
79,alcohol
79,male vocals
80,warm
80,sampling
80,humorous
80,passionate
80,male vocals
80,conscious
80,lush
80,introspective
80,uplifting
81,raw
81,passionate
81,male vocals
81,poetic
81,eclectic
81,energetic
81,melodic
81,conscious
81,heavy
82,futuristic
82,party
82,energetic
82,rhythmic
82,mashup
82,happy
82,sampling
82,progressive
82,repetitive
83,warm
83,improvisation
83,summer
83,psychedelic
83,male vocals
83,rhythmic
83,uplifting
83,melodic
83,passionate
84,futuristic
84,playful
84,mechanical
84,atmospheric
84,abstract
84,female vocals
84,ethereal
84,lush
84,love
85,cryptic
85,poetic
85,male vocals
85,sarcastic
85,passionate
86,happy
86,energetic
86,party
86,male vocals
86,uplifting
86,love
86,passionate
86,melodic
86,romantic
87,crime
87,urban
87,dark
87,violence
87,atmospheric
87,rhythmic
87,sampling
87,male vocals
87,cold
88,improvisation
88,psychedelic
88,dense
88,instrumental
88,dark
88,manic
88,mysterious
88,avant-garde
88,chaotic
89,male vocals
89,passionate
89,lush
89,bittersweet
89,warm
89,melodic
89,summer
89,eclectic
89,tropical
90,dark
90,cold
90,sombre
90,depressive
90,atmospheric
90,male vocals
90,anxious
90,nihilistic
90,ominous
91,warm
91,melodic
91,bittersweet
91,summer
91,pastoral
91,quirky
91,male vocals
91,concept album
91,playful
92,breakup
92,bittersweet
92,melodic
92,female vocals
92,male vocals
92,mellow
92,melancholic
92,passionate
92,soft
93,epic
93,desert
93,suspenseful
93,atmospheric
93,instrumental
93,triumphant
93,martial
93,mysterious
93,sombre
94,mellow
94,urban
94,atmospheric
94,male vocals
94,conscious
94,science fiction
94,philosophical
94,nocturnal
94,drugs
95,psychedelic
95,philosophical
95,melodic
95,summer
95,bittersweet
95,existential
95,introspective
95,warm
95,conscious
96,Wall of Sound
96,spiritual
96,uplifting
96,introspective
96,religious
96,existential
96,melodic
96,passionate
96,male vocals
97,political
97,energetic
97,war
97,technical
97,male vocals
97,aggressive
97,heavy
97,complex
97,conscious
98,urban
98,rhythmic
98,drugs
98,crime
98,passionate
98,male vocals
98,conscious
98,melodic
98,political
99,raw
99,energetic
99,sexual
99,noisy
99,rebellious
99,heavy
99,hedonistic
99,nihilistic
99,male vocals
100,mellow
100,psychedelic
100,atmospheric
100,mysterious
100,progressive
100,calm
100,male vocals
100,hypnotic
100,surreal
101,acoustic
101,melancholic
101,poetic
101,sombre
101,dark
101,introspective
101,male vocals
101,sparse
101,depressive
102,crime
102,boastful
102,vulgar
102,sexual
102,urban
102,drugs
102,nihilistic
102,rhythmic
102,male vocals
103,anxious
103,rhythmic
103,sarcastic
103,energetic
103,playful
103,male vocals
103,quirky
103,urban
103,abstract
104,uncommon time signatures
104,complex
104,technical
104,anxious
104,progressive
104,male vocals
104,avant-garde
104,philosophical
104,cryptic
105,energetic
105,uplifting
105,male vocals
105,improvisation
105,passionate
105,playful
106,energetic
106,rhythmic
106,male vocals
106,bittersweet
106,melancholic
106,female vocals
106,urban
106,sarcastic
106,passionate
107,energetic
107,male vocals
107,melodic
107,urban
107,apathetic
107,rebellious
107,raw
107,bittersweet
107,rhythmic
108,male vocals
108,melodic
108,anthemic
108,passionate
108,energetic
108,uplifting
108,bittersweet
108,melancholic
108,urban
109,dark
109,sombre
109,romantic
109,sensual
109,male vocals
109,nocturnal
109,melodic
109,atmospheric
109,rhythmic
110,male vocals
110,heavy
110,passionate
111,energetic
111,male vocals
111,political
111,anxious
111,protest
111,angry
111,alcohol
111,warm
111,sarcastic
112,urban
112,melancholic
112,atmospheric
112,anxious
112,nocturnal
112,dark
112,introspective
112,male vocals
112,cold
113,manic
113,playful
113,anxious
113,female vocals
113,complex
113,surreal
113,quirky
113,progressive
113,eclectic
114,energetic
114,sexual
114,heavy
114,male vocals
114,raw
114,hedonistic
114,boastful
114,passionate
114,rebellious
115,atmospheric
115,mellow
115,hypnotic
115,mysterious
115,instrumental
115,rhythmic
115,psychedelic
115,warm
115,sampling
116,anxious
116,avant-garde
116,improvisation
116,heavy
116,male vocals
116,noisy
116,uncommon time signatures
116,complex
117,passionate
117,melancholic
117,bittersweet
117,romantic
117,love
117,male vocals
117,introspective
117,poetic
117,sad
118,pastoral
118,bittersweet
118,warm
118,autumn
118,melodic
118,male vocals
118,sentimental
118,mellow
118,introspective
119,energetic
119,futuristic
119,sampling
119,party
119,playful
119,rhythmic
119,happy
119,repetitive
119,male vocals
120,energetic
120,male vocals
120,melodic
120,passionate
120,political
120,raw
120,conscious
121,political
121,protest
121,aggressive
121,rebellious
121,energetic
121,angry
121,male vocals
121,heavy
121,conscious
122,passionate
123,breakup
123,LGBT
123,male vocals
123,love
123,concept album
123,lush
123,sentimental
123,warm
123,longing
124,science fiction
124,epic
124,martial
124,dark
124,male vocals
124,futuristic
124,apocalyptic
124,ominous
124,female vocals
125,bittersweet
125,melancholic
125,warm
125,romantic
125,melodic
125,soft
125,poetic
125,lush
125,sentimental
126,energetic
126,raw
126,humorous
126,playful
