id_albuma,genre
1,Alternative Rock
1,Art Rock
2,Progressive Rock
2,Art Rock
3,Progressive Rock
3,Art Rock
4,Art Rock
4,Experimental Rock
4,Electronic
5,Conscious Hip Hop
5,West Coast Hip Hop
5,Jazz Rap
6,Shoegaze
6,Noise Pop
7,Art Rock
7,Progressive Rock
8,Pop Rock
9,Abstract Hip Hop
10,West Coast Hip Hop
10,Conscious Hip Hop
11,Heavy Metal
11,Hard Rock
12,Baroque Pop
13,East Coast Hip Hop
13,Boom Bap
13,Hardcore Hip Hop
14,Indie Folk
14,Indie Rock
15,Psychedelic Pop
15,Pop Rock
16,East Coast Hip Hop
16,Boom Bap
16,Hardcore Hip Hop
17,Contemporary Folk
17,Singer/Songwriter
18,Post-Rock
18,Post-Hardcore
18,Math Rock
19,Post-Punk
20,Progressive Rock
20,Art Rock
21,Folk Rock
21,Singer/Songwriter
22,Alternative Rock
22,Indie Rock
23,Hard Rock
24,Trip Hop
25,Art Punk
25,Art Rock
26,Art Pop
26,Progressive Pop
27,Folk Rock
27,Singer/Songwriter
28,Post-Rock
29,Psychedelic Rock
30,Instrumental Hip Hop
30,Experimental Hip Hop
30,Plunderphonics
31,Jazz Fusion
31,Avant-Garde Jazz
32,Singer/Songwriter
32,Folk Rock
33,Art Pop
33,Electronic
34,Heavy Metal
35,Jazz Rap
35,East Coast Hip Hop
35,Conscious Hip Hop
36,Folk Rock
36,Contemporary Folk
36,Singer/Songwriter
37,Blues Rock
37,Psychedelic Rock
37,Acid Rock
38,Blues Rock
38,Psychedelic Rock
38,Acid Rock
39,Industrial Hip Hop
39,Hardcore Hip Hop
39,Experimental Hip Hop
40,Chamber Pop
40,Singer/Songwriter
41,Art Pop
41,Electronic
42,New Wave
42,Art Punk
42,Post-Punk
43,Singer/Songwriter
43,Indie Folk
44,Post-Rock
45,Chipmunk Soul
45,Pop Rap
46,Noise Rock
46,Alternative Rock
47,Alternative R&amp;B
47,Art Pop
47,Neo-Soul
48,Pop Rock
49,East Coast Hip Hop
49,Hardcore Hip Hop
49,Boom Bap
50,Soul
51,Thrash Metal
52,Psychedelic Pop
52,Pop Rock
53,Acoustic Rock
53,Alternative Rock
54,Psychedelic Rock
54,Jam Band
55,New Wave
55,Post-Punk
55,Art Rock
56,Southern Hip Hop
56,Conscious Hip Hop
57,Post-Rock
58,Glam Rock
58,Pop Rock
58,Art Rock
59,Heartland Rock
60,Singer/Songwriter
60,Experimental Rock
61,East Coast Hip Hop
61,Jazz Rap
61,Boom Bap
62,Art Rock
62,Proto-Punk
63,Thrash Metal
64,Experimental Rock
64,Noise Rock
64,Proto-Punk
65,Soul
66,Heavy Metal
66,NWOBHM
67,Instrumental Hip Hop
68,Singer/Songwriter
68,Country Rock
68,Folk Rock
69,Jazz-Rock
69,Jazz Fusion
70,Psychedelic Pop
70,Baroque Pop
71,Power Pop
72,Singer/Songwriter
72,Country
72,Contemporary Folk
73,East Coast Hip Hop
73,Abstract Hip Hop
74,Grunge
74,Alternative Rock
75,Technical Death Metal
76,Grunge
76,Alternative Rock
77,Modal Jazz
77,Post-Bop
78,Singer/Songwriter
78,Contemporary Folk
79,Indie Rock
80,Hip Hop
80,Pop Rap
81,Singer/Songwriter
81,Country Rock
82,French House
83,Jam Band
83,Roots Rock
84,Glitch Pop
84,IDM
84,Shoegaze
85,Folk Rock
85,Singer/Songwriter
85,Contemporary Folk
86,Southern Soul
87,East Coast Hip Hop
87,Gangsta Rap
87,Boom Bap
88,Jazz Fusion
88,Jazz-Funk
89,MPB
90,Gothic Rock
90,Post-Punk
91,Pop Rock
92,Pop Rock
